Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100041,5,21,31,92,299,1,2,2,4,5,1,2,2,4,5,1,2,2,4,5,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,2,4,6,9,11,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,3,1,9,89,5,5,5
19100042,4,19,30,91,383,1,2,2,4,5,1,2,2,4,5,1,2,2,4,5,2,5,5,5,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,2,3,6,9,11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,5,1,1,87,6,6,6
19100043,3,8,16,40,30,2,5,9,23,27,1,1,1,2,3,1,1,1,2,3,2,2,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,3,3,4,1,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,3,3,5,67,31,3,3
19100044,2,7,10,26,61,3,9,16,43,63,1,1,2,3,3,1,1,2,3,3,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,3,3,3,3,2,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,4,2,5,35,62,4,4
19100045,1,1,1,2,4,5,15,29,69,64,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,4,4,3,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,4,3,96,3,3
19100046,1,1,1,2,4,3,9,20,60,102,2,3,3,8,9,1,1,1,2,2,1,1,1,1,1,2,3,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,2,4,3,84,14,3
19100047,1,1,1,2,3,4,13,25,66,75,1,2,2,4,4,1,1,1,2,2,1,1,1,1,1,2,2,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,2,93,6,2
19100048,1,1,1,1,2,2,4,8,21,42,4,10,17,44,57,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,3,4,4,5,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,33,68,2
19100049,1,1,1,2,6,3,11,22,62,119,1,2,2,4,6,1,1,1,2,2,1,1,1,1,1,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,3,2,4,2,94,5,2
19100050,1,1,1,2,4,4,13,25,70,105,1,1,1,2,3,1,1,1,2,3,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,4,4,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,3,5,3,95,3,3
